epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
13,799,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
13,811,,,,,,,,,,,,,,,,,,,,,,,,,,0.807205080986023,0.5359412431716919,0.8670752644538879,0.9000608921051025,0.6911664605140686,0.8323276042938232,4.863239765167236,0.8972120881080627,0.6715731620788574,0.7668657898902893,0.820258617401123,0.8575994372367859,0.8793103694915771
13,811,3778.497802734375,3844.92236328125,3870.173583984375,3870.988037109375,3891.419189453125,1.942418098449707,3.2983815670013428,0.0112821776419878,0.011119554750621319,0.01120144221931696,0.01122541818767786,0.013308953493833542,0.3669201731681824,0.37937289476394653,0.3671650290489197,0.3654854893684387,0.4351402819156647,0.106580950319767,0.10580172389745712,0.10614241659641266,0.10616260766983032,0.1221177726984024,,,,,,,,,,,,,,,,
14,849,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
14,869,,,,,,,,,,,,,,,,,,,,,,,,,,0.8164852261543274,0.5418187379837036,0.8629032373428345,0.9040811657905579,0.6889634132385254,0.829741358757019,4.930759429931641,0.896648108959198,0.6791520118713379,0.7824006676673889,0.8206896781921387,0.8671616911888123,0.8663793206214905
14,869,3775.914794921875,3844.82763671875,3871.451416015625,3873.638916015625,3891.715576171875,0.6354995369911194,3.171997308731079,0.011027664877474308,0.011096456088125706,0.010990526527166367,0.011020338162779808,0.013475719839334488,0.34294772148132324,0.36169156432151794,0.34771469235420227,0.3438073992729187,0.4162115454673767,0.10355864465236664,0.10420538485050201,0.10302195698022842,0.10330938547849655,0.12168972194194794,,,,,,,,,,,,,,,,
15,899,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
15,927,,,,,,,,,,,,,,,,,,,,,,,,,,0.8341230154037476,0.5357649326324463,0.875643789768219,0.9035912156105042,0.6919091939926147,0.8314655423164368,4.869203567504883,0.9023173451423645,0.6849439740180969,0.7607908248901367,0.8146551847457886,0.8600082993507385,0.892241358757019
15,927,3777.220947265625,3850.049560546875,3875.208984375,3874.612060546875,3891.090576171875,0.6824712157249451,2.960026502609253,0.00990473385900259,0.009935899637639523,0.00982421450316906,0.00985751673579216,0.011486205272376537,0.325265109539032,0.34014731645584106,0.32829123735427856,0.32544490694999695,0.3865906000137329,0.09728679060935974,0.09773220866918564,0.09685761481523514,0.09707172960042953,0.11067409068346024,,,,,,,,,,,,,,,,
16,949,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
16,985,,,,,,,,,,,,,,,,,,,,,,,,,,0.7966844439506531,0.5579904913902283,0.8640848994255066,0.898511528968811,0.6922248601913452,0.8323276042938232,5.055224418640137,0.8987856507301331,0.6773374676704407,0.7758705019950867,0.8232758641242981,0.8838185667991638,0.857758641242981
16,985,3762.71240234375,3837.35009765625,3866.53125,3872.146484375,3887.0205078125,0.5802387595176697,3.010643720626831,0.009732319042086601,0.009843451902270317,0.009705162607133389,0.009749882854521275,0.012382742017507553,0.3317296802997589,0.34479638934135437,0.3339996635913849,0.3317180871963501,0.3969096839427948,0.09733694791793823,0.09798407554626465,0.09720487147569656,0.09738770872354507,0.11729685962200165,,,,,,,,,,,,,,,,
17,999,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
17,1043,,,,,,,,,,,,,,,,,,,,,,,,,,0.8136321306228638,0.5396153926849365,0.8576115369796753,0.8939328193664551,0.6864708065986633,0.8357758522033691,5.001195430755615,0.8805409073829651,0.6766237616539001,0.7722258567810059,0.8237069249153137,0.8557971119880676,0.8706896305084229
17,1043,3796.829833984375,3842.3955078125,3875.72412109375,3882.64990234375,3888.528076171875,0.9256189465522766,3.036360263824463,0.010209675878286362,0.010336949490010738,0.01024351455271244,0.010233092121779919,0.012686647474765778,0.3308524191379547,0.34260615706443787,0.33358585834503174,0.33056795597076416,0.3889347314834595,0.10002302378416061,0.10089746862649918,0.10026299208402634,0.10023853182792664,0.11921029537916183,,,,,,,,,,,,,,,,
18,1049,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
18,1099,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
18,1101,,,,,,,,,,,,,,,,,,,,,,,,,,0.8245638608932495,0.5384179353713989,0.8366090655326843,0.8823082447052002,0.6812045574188232,0.8314655423164368,5.017800331115723,0.8841505646705627,0.6814908981323242,0.7714993357658386,0.8280172348022461,0.828644335269928,0.8534482717514038
