epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,5633.4,0.87726,0.47883,0.00274,0.83179,0.7931,0.87994,0.67078,0.93547,0.75065,0.00384,0.00108388,0.00108388,0.00108388
55,5735.69,0.88414,0.51417,0.00283,0.77599,0.84914,0.85608,0.64943,0.95119,0.72618,0.00395,0.00107288,0.00107288,0.00107288
56,5837.82,0.88113,0.46484,0.00289,0.84452,0.81076,0.87206,0.66814,0.93214,0.73619,0.00383,0.00106188,0.00106188,0.00106188
57,5939.74,0.9001,0.45932,0.00291,0.84937,0.81916,0.87793,0.68088,0.91236,0.75154,0.00384,0.00105088,0.00105088,0.00105088
58,6041.81,0.89648,0.5258,0.00285,0.83977,0.75565,0.83355,0.63126,0.9775,0.81951,0.00404,0.00103987,0.00103987,0.00103987
59,6143.93,0.86557,0.50433,0.00264,0.85573,0.80936,0.85606,0.64703,0.94926,0.8379,0.00393,0.00102887,0.00102887,0.00102887
60,6246.44,0.8711,0.43779,0.00281,0.86905,0.7736,0.86754,0.66121,0.94136,0.73354,0.00391,0.00101787,0.00101787,0.00101787
61,6348.36,0.85048,0.42623,0.00276,0.83002,0.78102,0.8692,0.66819,0.92273,0.75608,0.00393,0.00100687,0.00100687,0.00100687
62,6450.81,0.87813,0.48105,0.00275,0.86893,0.80603,0.87632,0.67346,0.92119,0.73553,0.00387,0.000995866,0.000995866,0.000995866
63,6592.22,0.83967,0.41457,0.00263,0.82098,0.79299,0.87217,0.662,0.97317,0.74322,0.00409,0.000984864,0.000984864,0.000984864
64,6775.42,0.83859,0.47632,0.00259,0.76806,0.81419,0.83193,0.64883,0.9128,0.85318,0.0038,0.000973861,0.000973861,0.000973861
65,6974.82,0.85498,0.43676,0.00268,0.80398,0.80149,0.86381,0.66328,0.92438,0.82473,0.00379,0.000962859,0.000962859,0.000962859
66,7185.84,0.82484,0.39185,0.00267,0.84146,0.81788,0.88273,0.66667,0.9497,0.73472,0.00394,0.000951857,0.000951857,0.000951857
67,7366.29,0.78427,0.40025,0.00257,0.83097,0.80443,0.8405,0.6394,0.91438,0.82286,0.00385,0.000940855,0.000940855,0.000940855
68,7546.42,0.82523,0.41487,0.0026,0.84135,0.81421,0.87381,0.66647,0.93808,0.73049,0.00397,0.000929853,0.000929853,0.000929853
69,7731.03,0.82626,0.41996,0.00277,0.81008,0.79337,0.83134,0.62489,0.98792,0.88878,0.00415,0.00091885,0.00091885,0.00091885
70,7914.5,0.83341,0.41779,0.00269,0.78788,0.83495,0.87506,0.65658,0.96413,0.7854,0.004,0.000907848,0.000907848,0.000907848
71,8094.79,0.78267,0.3796,0.00247,0.7842,0.82759,0.83766,0.64957,0.9132,0.83927,0.00382,0.000896846,0.000896846,0.000896846
72,8276.62,0.80284,0.36734,0.00254,0.89333,0.81466,0.89984,0.68941,0.9067,0.73543,0.00383,0.000885844,0.000885844,0.000885844
