epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
9,579,,,,,,,,,,,,,,,,,,,,,,,,,,0.8148694634437561,0.5394949316978455,0.8656872510910034,0.906346321105957,0.6813174486160278,0.8262931108474731,4.865301609039307,0.9060165882110596,0.6771821975708008,0.7735517621040344,0.821982741355896,0.8743917346000671,0.8706896305084229
9,579,3752.490234375,3803.69287109375,3834.803955078125,3856.26611328125,3874.43310546875,2.2214853763580322,3.576399087905884,0.012661230750381947,0.012953957542777061,0.012650905176997185,0.012598969973623753,0.015750426799058914,0.38377121090888977,0.3944959044456482,0.3869548439979553,0.38661375641822815,0.4589481055736542,0.11899644881486893,0.11896849423646927,0.11862264573574066,0.11852867901325226,0.1411520391702652,,,,,,,,,,,,,,,,
10,599,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
10,637,,,,,,,,,,,,,,,,,,,,,,,,,,0.8268494606018066,0.5136122107505798,0.8611753582954407,0.9118108153343201,0.688806414604187,0.8293103575706482,4.9171223640441895,0.888266384601593,0.6702308058738708,0.7536635398864746,0.8176724314689636,0.8890671133995056,0.8362069129943848
10,637,3699.52685546875,3738.46875,3794.43310546875,3805.07861328125,3868.89111328125,1.9037353992462158,3.4222421646118164,0.012074720114469528,0.012182878330349922,0.012051877565681934,0.012049363926053047,0.01387268491089344,0.37791070342063904,0.3880097568035126,0.37911731004714966,0.3782380223274231,0.4431513547897339,0.11120624095201492,0.11251366883516312,0.11118411272764206,0.11133334785699844,0.12609149515628815,,,,,,,,,,,,,,,,
11,649,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
11,695,,,,,,,,,,,,,,,,,,,,,,,,,,0.8117270469665527,0.5274167060852051,0.8623180389404297,0.9075877070426941,0.6880236864089966,0.8275862336158752,4.952782154083252,0.8833336234092712,0.6695718765258789,0.7810584902763367,0.8168103694915771,0.8461485505104065,0.8793103694915771
11,695,3707.392333984375,3729.16162109375,3787.927734375,3795.271484375,3868.83935546875,1.6578247547149658,3.4550397396087646,0.012243174947798252,0.012345768511295319,0.012341312132775784,0.012273568660020828,0.015624038875102997,0.3678503632545471,0.3782198131084442,0.36931169033050537,0.36831244826316833,0.4497070610523224,0.11431608349084854,0.11575425416231155,0.11478570103645325,0.11474964022636414,0.13914409279823303,,,,,,,,,,,,,,,,
12,699,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
12,749,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
