epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
9,579,3883.841552734375,3753.833984375,3782.77490234375,3805.185302734375,3.372488021850586,3.4801406860351562,0.015089266002178192,0.015483898110687733,0.015063723549246788,0.019475240260362625,0.4700755774974823,0.47336462140083313,0.4699254333972931,0.5401459336280823,0.14240381121635437,0.14383992552757263,0.1416778862476349,0.17261281609535217,,,,,,,,,,,,,,,,
10,599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
10,637,,,,,,,,,,,,,,,,,,,,,,0.802152693271637,0.5489595532417297,0.8571056723594666,0.9014943838119507,0.6801998615264893,0.8181034326553345,4.047499179840088,0.9052567481994629,0.6755561232566833,0.7749475836753845,0.8025861978530884,0.8576005697250366,0.857758641242981
10,637,3879.918212890625,3740.815673828125,3756.064697265625,3763.488037109375,4.571252822875977,3.3944876194000244,0.014563722535967827,0.014680525287985802,0.014697400853037834,0.018585575744509697,0.4694238305091858,0.47000858187675476,0.4677352011203766,0.5318571329116821,0.13561896979808807,0.1356787532567978,0.135489359498024,0.16462591290473938,,,,,,,,,,,,,,,,
11,649,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
11,695,,,,,,,,,,,,,,,,,,,,,,0.8008740544319153,0.516353189945221,0.8531073331832886,0.9047619700431824,0.6873350143432617,0.8193965554237366,4.165582656860352,0.8912417888641357,0.6586136221885681,0.7526779770851135,0.7978448271751404,0.8151960968971252,0.8965517282485962
11,695,3887.916015625,3782.330810546875,3779.625,3831.929931640625,2.8467206954956055,3.1216390132904053,0.013210511766374111,0.013346869498491287,0.013177153654396534,0.016442514955997467,0.4227195680141449,0.4251859188079834,0.4235055148601532,0.4883585572242737,0.1288062334060669,0.1298314332962036,0.12860998511314392,0.1532442271709442,,,,,,,,,,,,,,,,
12,699,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
12,749,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
12,753,,,,,,,,,,,,,,,,,,,,,,0.7965666055679321,0.5349259376525879,0.8628745675086975,0.9042184352874756,0.6850224733352661,0.8150861859321594,4.088545322418213,0.8878356218338013,0.66574627161026,0.7667106986045837,0.8198275566101074,0.8830280900001526,0.8448275923728943
12,753,3886.794189453125,3779.22314453125,3770.320068359375,3773.4794921875,2.5214717388153076,3.103544235229492,0.013880266807973385,0.013693430460989475,0.013656171970069408,0.016195936128497124,0.4216269552707672,0.42460334300994873,0.42043358087539673,0.47813257575035095,0.1302911788225174,0.1287831813097,0.1285305917263031,0.14820429682731628,,,,,,,,,,,,,,,,
13,799,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
13,811,,,,,,,,,,,,,,,,,,,,,,0.7969867587089539,0.5318097472190857,0.8589743375778198,0.9067466855049133,0.692128598690033,0.818965494632721,4.249881744384766,0.8886899352073669,0.6643982529640198,0.7680627703666687,0.8008620738983154,0.8516949415206909,0.8663793206214905
13,811,3887.456787109375,3790.715576171875,3774.085205078125,3778.365234375,1.8614994287490845,3.0467987060546875,0.013338400050997734,0.01356351189315319,0.013238070532679558,0.016620242968201637,0.40634915232658386,0.40790697932243347,0.40624064207077026,0.47639477252960205,0.12734787166118622,0.12833814322948456,0.12654507160186768,0.15082138776779175,,,,,,,,,,,,,,,,
14,849,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
14,869,,,,,,,,,,,,,,,,,,,,,,0.7882447242736816,0.5317093729972839,0.8445796370506287,0.9050406217575073,0.689809262752533,0.8185344934463501,4.162497520446777,0.8796045184135437,0.6599770188331604,0.7456413507461548,0.7887930870056152,0.8415688872337341,0.8491379022598267
14,869,3884.33837890625,3791.966552734375,3738.208984375,3813.103515625,2.1228833198547363,3.0876624584198,0.01349547691643238,0.01351997908204794,0.013326380401849747,0.017870107665657997,0.41168054938316345,0.4114217460155487,0.4081755578517914,0.4823736846446991,0.12801137566566467,0.12803645431995392,0.1264640986919403,0.1589634120464325,,,,,,,,,,,,,,,,
15,899,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
15,927,,,,,,,,,,,,,,,,,,,,,,0.7729364633560181,0.5074840188026428,0.8567235469818115,0.9021257758140564,0.6877782940864563,0.8133620619773865,4.262087821960449,0.8711129426956177,0.6402102708816528,0.745499849319458,0.7943965792655945,0.851819634437561,0.8620689511299133
15,927,3877.65087890625,3791.486083984375,3746.923583984375,3788.168212890625,2.093989372253418,3.088317632675171,0.014257866889238358,0.014306236989796162,0.014224868267774582,0.016763389110565186,0.41454190015792847,0.41116461157798767,0.4111352860927582,0.4623999297618866,0.13107839226722717,0.13193963468074799,0.1310088336467743,0.1516304463148117,,,,,,,,,,,,,,,,
16,949,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
